"Date","Time","Open","High","Low","Close","Volume"
12/30/2002,0930,0.93,0.93,0.93,0.93,571466
12/30/2002,0931,0.93,0.93,0.93,0.93,170800
12/30/2002,0932,0.93,0.93,0.93,0.93,110320
12/30/2002,0933,0.93,0.93,0.93,0.93,28000
12/30/2002,0934,0.93,0.93,0.93,0.93,123900
12/30/2002,0935,0.93,0.93,0.93,0.93,49000
12/30/2002,0936,0.93,0.93,0.93,0.93,61614
12/30/2002,0937,0.93,0.93,0.93,0.93,28000
12/30/2002,0938,0.93,0.93,0.93,0.93,171738
12/30/2002,0939,0.93,0.93,0.93,0.93,95200
12/30/2002,0940,0.93,0.93,0.93,0.93,71400
12/30/2002,0941,0.93,0.93,0.93,0.93,187880
12/30/2002,0942,0.93,0.93,0.93,0.93,103600
12/30/2002,0943,0.93,0.93,0.93,0.93,408800
12/30/2002,0944,0.93,0.93,0.92,0.92,493640
12/30/2002,0945,0.93,0.93,0.92,0.92,680512
12/30/2002,0946,0.92,0.92,0.92,0.92,198800
12/30/2002,0947,0.92,0.92,0.92,0.92,134400
12/30/2002,0948,0.92,0.92,0.92,0.92,135212
12/30/2002,0949,0.92,0.92,0.92,0.92,112056
12/30/2002,0950,0.92,0.92,0.92,0.92,428204
12/30/2002,0951,0.92,0.92,0.92,0.92,72184
12/30/2002,0952,0.92,0.92,0.92,0.92,32200
12/30/2002,0953,0.92,0.92,0.92,0.92,16800
12/30/2002,0954,0.92,0.92,0.92,0.92,51800
12/30/2002,0955,0.92,0.92,0.92,0.92,75600
12/30/2002,0956,0.92,0.92,0.92,0.92,23800
12/30/2002,0957,0.92,0.92,0.92,0.92,32816
12/30/2002,0958,0.92,0.92,0.92,0.92,63000
12/30/2002,0959,0.92,0.92,0.92,0.92,151984
12/30/2002,1000,0.92,0.92,0.92,0.92,113400
12/30/2002,1001,0.92,0.92,0.92,0.92,96320
12/30/2002,1002,0.92,0.92,0.92,0.92,31178
12/30/2002,1003,0.92,0.92,0.92,0.92,87108
12/30/2002,1004,0.92,0.93,0.92,0.92,293132
12/30/2002,1005,0.93,0.93,0.92,0.92,308784
12/30/2002,1006,0.92,0.93,0.92,0.92,83076
12/30/2002,1007,0.92,0.92,0.92,0.92,175000
12/30/2002,1008,0.92,0.92,0.92,0.92,157584
12/30/2002,1009,0.92,0.92,0.92,0.92,114800
12/30/2002,1010,0.92,0.92,0.92,0.92,25494
